iter	Logloss
0	0.6897875667
1	0.6862155212
2	0.6831485186
3	0.6799839257
4	0.6771497489
5	0.6746606695
6	0.6722732416
7	0.6701443644
8	0.6684137907
9	0.6663807857
10	0.6645497106
11	0.6628342637
12	0.6612530051
13	0.6598239413
14	0.6586065352
15	0.6572392954
16	0.6558721193
17	0.6547030504
18	0.653496224
19	0.6521302715
20	0.6514003038
21	0.6504626324
22	0.64911401
23	0.6476657549
24	0.6463492745
25	0.6454579582
26	0.6445634472
27	0.6433408912
28	0.6425135487
29	0.6415560267
30	0.6409718747
31	0.6398818205
32	0.6389023484
33	0.6380847824
34	0.6375655457
35	0.6369803192
36	0.6363085655
37	0.6349147149
38	0.6342074702
39	0.6334241224
40	0.6325995266
41	0.6317212627
42	0.6312233181
43	0.63063252
44	0.6298443162
45	0.6293192724
46	0.6289451338
47	0.628402657
48	0.627872204
49	0.6270544769
50	0.6266816923
51	0.6261455053
52	0.6254333599
53	0.6248648691
54	0.6244898395
55	0.624191537
56	0.6232915634
57	0.6227978754
58	0.6223572176
59	0.6219779798
60	0.6213591535
61	0.6211158484
62	0.6205600802
63	0.6199994621
64	0.6195655991
65	0.6190337243
66	0.6188270803
67	0.6180365396
68	0.6179200695
69	0.6178495081
70	0.6172161119
71	0.6168491445
72	0.6161780473
73	0.6156982442
74	0.6150462241
75	0.6147281655
76	0.6140298637
77	0.6134416432
78	0.6127037747
79	0.612044365
80	0.6120443647
81	0.611634368
82	0.6114253505
83	0.6109575229
84	0.6109470681
85	0.6106135907
86	0.6101271978
87	0.6097347713
88	0.6094666972
89	0.6092221639
90	0.608877497
91	0.6084260498
92	0.6080845589
93	0.6076263737
94	0.6072397483
95	0.606879654
96	0.6064063534
97	0.6061039576
98	0.6054626429
99	0.6053875333
100	0.604998233
101	0.6046422345
102	0.6040373208
103	0.6035352579
104	0.603089462
105	0.6027261202
106	0.6024008696
107	0.6020078671
108	0.6017124854
109	0.601528238
110	0.6012727422
111	0.6009581305
112	0.6004035826
113	0.5999860239
114	0.5996708875
115	0.5993720749
116	0.5991479674
117	0.5987793537
118	0.5986507998
119	0.5982160042
120	0.5977419442
121	0.5975297128
122	0.597436611
123	0.5970218481
124	0.596742799
125	0.5965431299
126	0.5960829629
127	0.5955837806
128	0.594932525
129	0.5948076191
130	0.5945447069
131	0.594248747
132	0.5936490898
133	0.5932197773
134	0.5928196454
135	0.5927710445
136	0.5926738593
137	0.5924153603
138	0.5920866691
139	0.5916425624
140	0.591254839
141	0.5910158042
142	0.5907678235
143	0.590305891
144	0.5899478342
145	0.5896049263
146	0.5892616845
147	0.5889614448
148	0.5889204604
149	0.5884627425
150	0.5881042389
151	0.5879648866
152	0.5876638023
153	0.5871488121
154	0.5866564573
155	0.5864122779
156	0.5860515648
157	0.5856436499
158	0.5855032321
159	0.5852213712
160	0.5850622903
161	0.5845534581
162	0.5845420928
163	0.5842981872
164	0.5841667868
165	0.5839329559
166	0.5836306241
167	0.583217494
168	0.5827392952
169	0.5821257319
170	0.5819796717
171	0.5817159504
172	0.5811248143
173	0.5808089457
174	0.5803967708
175	0.5799287461
176	0.5798519671
177	0.579437619
178	0.5792170012
179	0.5790038962
180	0.5786519106
181	0.5783194133
182	0.5780322823
183	0.5776653136
184	0.5771000663
185	0.5766206135
186	0.5763313914
187	0.5759005304
188	0.5755702739
189	0.575474407
190	0.5753328669
191	0.5750870387
192	0.5748854925
193	0.5744597885
194	0.5741326859
195	0.5740545379
196	0.5737384845
197	0.5732438236
198	0.5730809408
199	0.5727646165
200	0.5725108782
201	0.5724498895
202	0.5722563275
203	0.5719434605
204	0.5714332276
205	0.5709783577
206	0.5708958338
207	0.5705214396
208	0.5699449133
209	0.5697370942
210	0.5691758343
211	0.5688571381
212	0.5688017248
213	0.5682126928
214	0.5678680841
215	0.567664293
216	0.5674342347
217	0.567061781
218	0.5668088419
219	0.5662321416
220	0.5659241077
221	0.5658794341
222	0.5652264313
223	0.5648652248
224	0.5645939967
225	0.5644849171
226	0.5641503568
227	0.5637900453
228	0.5637494763
229	0.5629832657
230	0.5623813189
231	0.5619101445
232	0.5613520945
233	0.560983266
234	0.5608919266
235	0.5603615296
236	0.5602939373
237	0.5600696075
238	0.5596483743
239	0.5594063411
240	0.559201885
241	0.5589748736
242	0.5585032178
243	0.5578687011
244	0.5575714617
245	0.5572226938
246	0.5565687308
247	0.5563547015
248	0.5561878583
249	0.555654789
250	0.5552109998
251	0.555026581
252	0.5547897869
253	0.5543115815
254	0.5540850865
255	0.5535914624
256	0.5532459683
257	0.5530574976
258	0.5526115568
259	0.5518827237
260	0.5514792224
261	0.5508154761
262	0.5507429754
263	0.5506469529
264	0.5501571001
265	0.5497725749
266	0.549478125
267	0.5490079181
268	0.5486510155
269	0.5483515539
270	0.5482944772
271	0.5477072326
272	0.547482742
273	0.5473491654
274	0.5468978743
275	0.54662241
276	0.5464492833
277	0.5462136595
278	0.546001307
279	0.545722121
280	0.5454477887
281	0.545279135
282	0.5450940596
283	0.5448345028
284	0.5447753493
285	0.5441760871
286	0.5439899236
287	0.5438439607
288	0.5434620472
289	0.5431344494
290	0.5429228597
291	0.5428081802
292	0.5426472174
293	0.5421429911
294	0.5415969574
295	0.5411756838
296	0.5409038736
297	0.5407052314
298	0.5404248361
299	0.5403107319
300	0.5401524151
301	0.5396754487
302	0.5391878125
303	0.5386309821
304	0.5382076986
305	0.5379524842
306	0.5374968351
307	0.5372956249
308	0.536793333
309	0.5365684463
310	0.5364065201
311	0.5361551623
312	0.5356511122
313	0.5355122948
314	0.5353809283
315	0.535173426
316	0.5347616332
317	0.5346779232
318	0.534313165
319	0.5340805561
320	0.5336877494
321	0.5332199879
322	0.5330062365
323	0.5326799444
324	0.5324078272
325	0.5323742016
326	0.5320715821
327	0.5315814899
328	0.5311246112
329	0.5306499284
330	0.5305510087
331	0.5302844172
332	0.5299767835
333	0.5295967265
334	0.5293732743
335	0.5288862206
336	0.5286615764
337	0.5281876319
338	0.5276380263
339	0.5271173254
340	0.5266465251
341	0.526120081
342	0.5256172776
343	0.525034411
344	0.5249341476
345	0.5244736938
346	0.5241771007
347	0.5239561633
348	0.5238010387
349	0.5231813211
350	0.5230560634
351	0.5226349556
352	0.5222966332
353	0.5219729842
354	0.5215902644
355	0.5212230309
356	0.5210205785
357	0.5206100257
358	0.5202321805
359	0.5201735706
360	0.5200950801
361	0.519825794
362	0.5194653704
363	0.5189677197
364	0.5189102295
365	0.518658191
366	0.5184462187
367	0.5179635068
368	0.517535249
369	0.517508536
370	0.5172980069
371	0.517135546
372	0.5169179749
373	0.5166514064
374	0.5163471857
375	0.5159882184
376	0.5158834253
377	0.5154585094
378	0.5153485912
379	0.5150702831
380	0.5150114449
381	0.5148634564
